영화명,번호,개봉_연도,개봉_월,개봉_요일,여름_개봉,겨울_개봉,대표장르,대표국가,한국_영화,평균기온,최고기온,첫주_관객수,top10_주수,최고_순위,백만_돌파
바디,734,2008,5,3,0,0,공포(호러),태국,0,22.3,28.5,72797,2,6,0
위 오운 더 나잇,735,2008,5,3,0,0,범죄,미국,0,22.3,28.5,43638,1,8,0
걸스카우트,736,2008,6,3,0,0,드라마,한국,1,14.9,17.0,158445,2,5,0
쿵푸 팬더,737,2008,6,3,0,0,애니메이션,미국,0,14.9,17.0,1264712,8,1,1
디 아이,738,2008,6,3,0,0,공포(호러),미국,0,14.9,17.0,62821,1,8,0
섹스 앤 더 시티,739,2008,6,3,0,0,멜로/로맨스,미국,0,14.9,17.0,444690,5,3,1
흑심모녀,740,2008,6,3,0,0,가족,한국,1,23.3,29.0,40637,1,8,0
도화선,741,2008,6,3,0,0,액션,홍콩,0,23.3,29.0,20472,1,10,0
해프닝,742,2008,6,3,0,0,SF,미국,0,23.3,29.0,235061,2,5,0
인크레더블 헐크,743,2008,6,3,0,0,액션,미국,0,23.3,29.0,527328,4,2,0
강철중: 공공의 적 1-1,744,2008,6,3,0,0,드라마,한국,1,20.3,24.1,1385133,7,1,1
21,745,2008,6,3,0,0,범죄,미국,0,20.3,24.1,65850,2,8,0
겟 스마트,746,2008,6,3,0,0,범죄,미국,0,20.3,24.1,113995,2,5,0
둠스데이:지구 최후의 날,747,2008,6,3,0,0,SF,미국,0,20.3,24.1,64942,2,9,0
무림여대생,748,2008,6,3,0,0,멜로/로맨스,한국,1,23.3,28.8,18363,1,10,0
크로싱,749,2008,6,3,0,0,드라마,한국,1,23.3,28.8,298978,4,4,0
원티드,750,2008,6,3,0,0,스릴러,미국,0,23.3,28.8,1055214,5,2,1
돼지코 아기공룡 임피의 모험,751,2008,6,3,0,0,애니메이션,독일,0,23.3,28.8,13734,2,9,0
크로우즈 제로,752,2008,7,2,1,0,스릴러,일본,0,22.4,24.5,14629,1,8,0
핸콕,753,2008,7,2,1,0,액션,미국,0,22.4,24.5,1319220,4,1,1
노크:낯선 자들의 방문,754,2008,7,2,1,0,공포(호러),미국,0,22.4,24.5,118990,2,6,0
잘못된 만남,755,2008,7,3,1,0,드라마,한국,1,26.3,30.5,34559,1,9,0
알이씨(Rec),756,2008,7,3,1,0,공포(호러),스페인,0,26.3,30.5,48072,1,8,0
적벽대전:거대한 전쟁의 시작,757,2008,7,3,1,0,액션,중국,0,26.3,30.5,782871,4,2,1
"좋은 놈, 나쁜 놈, 이상한 놈 ",758,2008,7,3,1,0,서부극(웨스턴),한국,1,25.3,30.3,2113859,8,1,1
님스 아일랜드,759,2008,7,3,1,0,코미디,미국,0,25.3,30.3,254452,4,3,0
극장판 도라에몽:진구의 마계대모험 7인의 마법사,760,2008,7,3,1,0,애니메이션,일본,0,25.3,30.3,68466,4,6,0
스페이스 침스:우주선을 찾아서,761,2008,7,3,1,0,애니메이션,미국,0,25.3,30.3,82859,3,7,0
님은 먼 곳에,762,2008,7,3,1,0,드라마,한국,1,22.4,25.0,832209,3,2,1
100 피트,763,2008,7,3,1,0,공포(호러),미국,0,22.4,25.0,51955,1,10,0
미이라 3:황제의 무덤,764,2008,7,2,1,0,액션,미국,0,26.1,28.3,2116962,4,1,1
눈에는 눈 이에는 이,765,2008,7,3,1,0,범죄,한국,1,26.7,29.5,873826,6,3,1
다크 나이트,766,2008,8,2,1,0,범죄,미국,0,27.8,32.9,1177765,10,1,1
월ㆍE,767,2008,8,2,1,0,애니메이션,미국,0,27.8,32.9,438096,5,3,1
고死 : 피의 중간고사,768,2008,8,3,1,0,공포(호러),한국,1,28.7,33.4,561960,5,2,1
케로로 더 무비:케로로 VS 케로로 천공대결전,769,2008,8,3,1,0,애니메이션,일본,0,28.7,33.4,73251,2,8,0
엑스파일:나는 믿고싶다,770,2008,8,2,1,0,SF,미국,0,27.0,31.5,168667,1,9,0
다찌마와리,771,2008,8,3,1,0,액션,한국,1,27.3,31.5,337499,3,6,0
아기와 나,772,2008,8,3,1,0,드라마,한국,1,27.3,31.5,207077,2,8,0
CJ7:장강7호,773,2008,8,3,1,0,SF,홍콩,0,23.4,28.6,170506,2,6,0
미드나잇 미트 트레인,774,2008,8,3,1,0,공포(호러),미국,0,23.4,28.6,142704,3,7,0
맘마미아!,775,2008,9,2,0,0,멜로/로맨스,미국,0,23.2,28.5,146819,14,1,1
신기전,776,2008,9,3,0,0,사극,한국,1,24.0,28.4,217358,8,1,1
스타워즈 : 클론 전쟁,777,2008,9,3,0,0,애니메이션,미국,0,24.0,28.4,55257,2,5,0
지구,778,2008,9,3,0,0,다큐멘터리,영국,0,24.0,28.4,78352,3,4,0
꽃보다 남자,779,2008,9,3,0,0,멜로/로맨스,일본,0,21.9,23.8,83751,2,7,0
20세기 소년,780,2008,9,3,0,0,SF,일본,0,21.9,23.8,108267,2,5,0
영화는 영화다,781,2008,9,3,0,0,액션,한국,1,21.9,23.8,341489,5,3,1
울학교 이티,782,2008,9,3,0,0,드라마,한국,1,21.9,23.8,222400,3,4,0
방콕 데인저러스,783,2008,9,3,0,0,액션,미국,0,21.9,23.8,105781,2,6,0
미러,784,2008,9,3,0,0,공포(호러),미국,0,25.5,31.9,127726,2,5,0
황시,785,2008,9,3,0,0,전쟁,호주,0,25.5,31.9,93055,2,6,0
트럭,786,2008,9,3,0,0,범죄,한국,1,16.2,20.5,244798,3,3,0
멋진 하루,787,2008,9,3,0,0,드라마,한국,1,16.2,20.5,203071,2,6,0
동키호테,788,2008,9,3,0,0,애니메이션,스페인,0,16.2,20.5,31975,1,10,0
헬보이 2 : 골든 아미,789,2008,9,3,0,0,SF,미국,0,16.2,20.5,212827,2,5,0
모던보이,790,2008,10,3,0,0,드라마,한국,1,20.0,26.0,409717,3,2,0
바빌론 A.D.,791,2008,10,3,0,0,SF,미국,0,20.0,26.0,151579,2,6,0
더 클럽,792,2008,10,3,0,0,멜로/로맨스,미국,0,20.0,26.0,46316,1,10,0
고고 70,793,2008,10,4,0,0,드라마,한국,1,19.5,24.4,281950,3,3,0
비몽,794,2008,10,3,0,0,드라마,한국,1,18.7,24.6,50816,1,8,0
내 친구의 사생활,795,2008,10,3,0,0,멜로/로맨스,미국,0,18.7,24.6,43216,1,10,0
이글 아이,796,2008,10,3,0,0,액션,미국,0,18.7,24.6,658025,6,1,1
사과,797,2008,10,3,0,0,드라마,한국,1,18.0,23.3,29528,1,10,0
하우 투 루즈 프렌즈,798,2008,10,3,0,0,코미디,영국,0,18.0,23.3,63508,2,8,0
공작부인:세기의 스캔들,799,2008,10,3,0,0,사극,미국,0,18.0,23.3,117481,2,4,0
미쓰 홍당무,800,2008,10,3,0,0,드라마,한국,1,18.0,23.3,253670,3,2,0
데스 레이스,801,2008,10,3,0,0,SF,미국,0,18.0,23.3,74818,2,7,0
아내가 결혼했다,802,2008,10,3,0,0,멜로/로맨스,한국,1,16.5,20.1,512431,6,1,1
그 남자의 책 198쪽,803,2008,10,3,0,0,멜로/로맨스,한국,1,16.5,20.1,57554,1,9,0
바디 오브 라이즈,804,2008,10,3,0,0,스릴러,미국,0,16.5,20.1,249541,4,3,0
화피,805,2008,10,3,0,0,스릴러,홍콩,0,16.5,20.1,81832,2,7,0
굿바이,806,2008,10,3,0,0,드라마,일본,0,11.1,15.7,64940,2,7,0
플라이 미 투 더 문,807,2008,10,3,0,0,애니메이션,벨기에,0,11.1,15.7,58142,3,7,0
너를 잊지 않을 거야,808,2008,10,3,0,0,드라마,일본,0,11.1,15.7,31179,1,10,0
뱅크 잡,809,2008,10,3,0,0,범죄,영국,0,11.1,15.7,211041,4,3,0
007 퀀텀 오브 솔러스,810,2008,11,2,0,0,액션,미국,0,11.5,16.1,822576,6,1,1
소년은 울지 않는다,811,2008,11,3,0,0,액션,한국,1,15.3,18.4,56449,2,8,0
서양 골동 양과자점 앤티크,812,2008,11,3,0,0,드라마,한국,1,10.1,16.0,30628,5,2,1
렛 미 인,813,2008,11,3,0,0,공포(호러),스웨덴,0,10.1,16.0,24222,1,9,0
미인도,814,2008,11,3,0,0,사극,한국,1,10.1,16.0,597414,6,1,1
눈먼자들의 도시,815,2008,11,3,0,0,드라마,캐나다,0,1.1,7.2,238423,4,3,0
커넥트,816,2008,11,3,0,0,액션,홍콩,0,1.1,7.2,79146,3,7,0
맥스 페인,817,2008,11,3,0,0,범죄,미국,0,1.1,7.2,137764,3,5,0
순정만화,818,2008,11,3,0,0,멜로/로맨스,한국,1,5.6,8.8,381098,3,2,0
1724 기방난동사건,819,2008,12,2,0,1,사극,한국,1,7.1,12.8,191869,2,4,0
과속스캔들,820,2008,12,2,0,1,코미디,한국,1,7.1,12.8,88297,14,1,1
쏘우 V,821,2008,12,2,0,1,범죄,미국,0,7.1,12.8,102791,2,7,0
오스트레일리아,822,2008,12,2,0,1,사극,미국,0,9.4,13.3,437279,4,3,0
트와일라잇,823,2008,12,2,0,1,액션,미국,0,9.4,13.3,589875,4,2,1
트로픽 썬더 ,824,2008,12,2,0,1,액션,미국,0,9.4,13.3,51204,2,7,0
벼랑 위의 포뇨,825,2008,12,2,0,1,애니메이션,일본,0,6.4,9.3,421902,5,3,1
잃어버린 세계를 찾아서,826,2008,12,2,0,1,SF,미국,0,6.4,9.3,428262,5,2,1
예스맨,827,2008,12,2,0,1,코미디,미국,0,6.4,9.3,268003,6,4,1
달콤한 거짓말,828,2008,12,3,0,1,멜로/로맨스,한국,1,-0.3,3.7,210365,3,7,0
로맨틱 아일랜드,829,2008,12,2,0,1,멜로/로맨스,한국,1,2.8,5.9,127059,1,9,0
지구가 멈추는 날,830,2008,12,2,0,1,SF,미국,0,2.8,5.9,1181013,3,2,1
니코,831,2008,12,2,0,1,애니메이션,핀란드,0,2.8,5.9,124532,1,10,0
쌍화점,832,2008,12,1,0,1,드라마,한국,1,-4.2,0.3,13866,6,1,1
볼트,833,2008,12,2,0,1,애니메이션,미국,0,-6.2,-2.9,449101,3,3,0
디파이언스,834,2009,1,3,0,1,드라마,미국,0,-0.9,2.5,90634,2,6,0
마다가스카 2,835,2009,1,3,0,1,애니메이션,미국,0,-0.9,2.5,445366,4,3,1
트랜스포터-라스트 미션,836,2009,1,3,0,1,액션,프랑스,0,-0.9,2.5,402727,3,4,0
워낭소리,837,2009,1,3,0,1,다큐멘터리,한국,1,-6.3,-2.0,212777,8,1,1
탑 블레이드 더 무비,838,2009,1,3,0,1,애니메이션,일본,0,-6.3,-2.0,22227,1,10,0
작전명 발키리,839,2009,1,3,0,1,스릴러,미국,0,3.6,9.3,537065,4,2,1
유감스러운 도시,840,2009,1,3,0,1,코미디,한국,1,3.6,9.3,461386,3,3,1
적벽대전 2 : 최후의 결전,841,2009,1,3,0,1,액션,중국,0,3.6,9.3,750402,4,1,1
베드타임 스토리,842,2009,1,3,0,1,코미디,미국,0,3.6,9.3,70285,2,9,0
체인질링,843,2009,1,3,0,1,드라마,미국,0,3.6,9.3,98343,3,7,0
잉크하트 : 어둠의 부활,844,2009,1,3,0,1,어드벤처,미국,0,3.3,8.3,318541,2,5,0
알파독,845,2009,1,3,0,1,드라마,미국,0,3.3,8.3,73637,1,10,0
마린보이,846,2009,2,3,0,0,액션,한국,1,4.4,6.0,429248,3,1,0
키친,847,2009,2,3,0,0,멜로/로맨스,한국,1,4.4,6.0,86171,1,10,0
세븐 파운즈,848,2009,2,3,0,0,드라마,미국,0,4.4,6.0,152037,2,8,0
그는 당신에게 반하지 않았다,849,2009,2,3,0,0,멜로/로맨스,미국,0,6.8,10.6,375715,5,4,0
작전,850,2009,2,3,0,0,범죄,한국,1,6.8,10.6,430734,5,2,1
벤자민 버튼의 시간은 거꾸로 간다,851,2009,2,3,0,0,드라마,미국,0,6.8,10.6,461720,5,1,1
작은 영웅 데스페로,852,2009,2,3,0,0,애니메이션,미국,0,6.8,10.6,149548,3,7,0
문프린세스 : 문에이커의 비밀,853,2009,2,3,0,0,어드벤처,영국,0,0.6,3.9,194482,2,6,0
말리와 나,854,2009,2,3,0,0,드라마,미국,0,0.6,3.9,97532,2,9,0
핸드폰,855,2009,2,3,0,0,스릴러,한국,1,0.6,3.9,284880,3,4,0
인터내셔널,856,2009,2,3,0,0,액션,미국,0,2.4,7.3,148550,2,6,0
언데드,857,2009,2,3,0,0,공포(호러),미국,0,2.4,7.3,123849,2,8,0
왓치맨,858,2009,3,3,0,0,액션,미국,0,5.2,7.6,321949,3,2,0
더 레슬러,859,2009,3,3,0,0,드라마,미국,0,5.2,7.6,39629,1,9,0
킬러들의 도시,860,2009,3,3,0,0,범죄,영국,0,5.2,7.6,32652,1,10,0
슬픔보다 더 슬픈 이야기,861,2009,3,2,0,0,멜로/로맨스,한국,1,4.5,9.9,315250,3,1,0
드래곤볼 에볼루션,862,2009,3,3,0,0,액션,미국,0,7.9,13.5,276006,2,2,0
뉴욕은 언제나 사랑 중,863,2009,3,3,0,0,멜로/로맨스,미국,0,7.9,13.5,149890,2,5,0
13일의 금요일,864,2009,3,3,0,0,공포(호러),미국,0,7.9,13.5,136794,2,7,0
그랜 토리노,865,2009,3,3,0,0,드라마,미국,0,14.1,17.3,57113,2,10,0
푸시,866,2009,3,3,0,0,SF,미국,0,14.1,17.3,319706,3,1,0
슬럼독 밀리어네어,867,2009,3,3,0,0,드라마,영국,0,14.1,17.3,261828,7,1,1
실종,868,2009,3,3,0,0,범죄,한국,1,14.1,17.3,249373,4,3,0
더 리더: 책 읽어주는 남자,869,2009,3,3,0,0,드라마,미국,0,4.7,9.2,147484,3,4,0
쇼퍼홀릭,870,2009,3,3,0,0,코미디,미국,0,4.7,9.2,138968,3,5,0
기프트,871,2009,3,3,0,0,액션,미국,0,4.7,9.2,98388,2,8,0
카오스,872,2009,3,3,0,0,액션,영국,0,4.7,9.2,119841,2,7,0
신부들의 전쟁,873,2009,4,3,0,0,코미디,미국,0,7.6,14.2,61994,1,9,0
그림자 살인,874,2009,4,3,0,0,미스터리,한국,1,7.6,14.2,537312,5,1,1
분노의 질주: 더 오리지널,875,2009,4,3,0,0,액션,미국,0,7.6,14.2,230087,4,2,0
미쓰 루시힐,876,2009,4,3,0,0,코미디,미국,0,17.5,24.9,52535,1,7,0
안나와 알렉스 : 두자매 이야기,877,2009,4,3,0,0,공포(호러),미국,0,17.5,24.9,33885,1,10,0
용의자 X의 헌신,878,2009,4,3,0,0,미스터리,일본,0,17.5,24.9,57970,1,6,0
우리 집에 왜 왔니,879,2009,4,3,0,0,드라마,한국,1,17.5,24.9,123613,2,4,0
내 남자의 아내도 좋아,880,2009,4,2,0,0,드라마,스페인,0,9.9,14.1,35514,1,8,0
똥파리,881,2009,4,3,0,0,드라마,한국,1,10.7,15.4,46359,1,7,0
더블 스파이,882,2009,4,3,0,0,범죄,미국,0,10.7,15.4,31071,1,10,0
노잉,883,2009,4,3,0,0,SF,미국,0,10.7,15.4,452213,4,1,1
엽문,884,2009,4,3,0,0,액션,홍콩,0,10.7,15.4,53957,2,7,0
13구역: 얼티메이텀,885,2009,4,3,0,0,액션,프랑스,0,10.7,15.4,210372,3,3,0
7급 공무원,886,2009,4,2,0,0,코미디,한국,1,9.9,13.0,35252,9,1,1
몬스터 vs 에이리언,887,2009,4,3,0,0,애니메이션,미국,0,12.7,17.9,219788,4,5,0
제독의 연인,888,2009,4,3,0,0,드라마,러시아,0,12.7,17.9,29564,1,10,0
인사동 스캔들,889,2009,4,2,0,0,드라마,한국,1,15.6,22.5,408084,5,4,1
박쥐,890,2009,4,3,0,0,공포(호러),한국,1,15.7,20.8,960356,6,1,1
스테이트 오브 플레이,891,2009,4,3,0,0,드라마,미국,0,15.7,20.8,68241,2,9,0
엑스맨 탄생: 울버린,892,2009,4,3,0,0,SF,미국,0,15.7,20.8,596887,4,3,1
케로로 더 무비: 드래곤 워리어,893,2009,4,3,0,0,애니메이션,일본,0,15.7,20.8,69391,2,7,0
리틀 비버,894,2009,4,3,0,0,가족,프랑스,0,15.7,20.8,75686,1,8,0
스타 트렉: 더 비기닝,895,2009,5,3,0,0,SF,미국,0,21.3,27.5,426520,5,3,1
천사와 악마,896,2009,5,3,0,0,미스터리,미국,0,18.9,25.2,775982,5,1,1
김씨표류기,897,2009,5,3,0,0,코미디,한국,1,18.9,25.2,317456,4,4,0
옹박: 더 레전드,898,2009,5,3,0,0,액션,태국,0,18.9,25.2,22693,1,8,0
잘 알지도 못하면서,899,2009,5,3,0,0,드라마,한국,1,18.9,25.2,11640,1,10,0
할로윈:살인마의 탄생,900,2009,5,3,0,0,공포(호러),미국,0,18.9,25.2,19404,1,10,0
터미네이터 : 미래전쟁의 시작,901,2009,5,3,0,0,SF,미국,0,15.8,19.4,1673554,7,1,1
코렐라인,902,2009,5,3,0,0,애니메이션,미국,0,15.8,19.4,99097,7,4,0
마더,903,2009,5,3,0,0,드라마,한국,1,24.2,31.0,1198755,7,1,1
에코,904,2009,5,3,0,0,드라마,미국,0,24.2,31.0,29496,2,9,0
박물관이 살아있다 2,905,2009,6,3,0,0,어드벤처,미국,0,21.2,25.9,939071,6,1,1
펠햄 123,906,2009,6,3,0,0,액션,미국,0,21.0,25.7,171597,3,5,0
드래그 미 투 헬,907,2009,6,3,0,0,공포(호러),미국,0,21.0,25.7,128393,4,6,0
거북이 달린다,908,2009,6,3,0,0,드라마,한국,1,21.0,25.7,542445,7,1,1
임피 원더랜드 가다,909,2009,6,3,0,0,애니메이션,독일,0,21.0,25.7,19899,1,10,0
블러드,910,2009,6,3,0,0,액션,홍콩,0,21.0,25.7,69971,2,7,0
여고괴담 5,911,2009,6,3,0,0,공포(호러),한국,1,25.1,31.5,286215,4,3,0
신주쿠 사건,912,2009,6,3,0,0,액션,홍콩,0,25.1,31.5,29186,1,9,0
블룸 형제 사기단,913,2009,6,3,0,0,코미디,미국,0,25.1,31.5,53808,2,8,0
트랜스포머: 패자의 역습,914,2009,6,2,0,0,SF,미국,0,24.5,30.0,2992475,7,1,1
링스 어드벤처,915,2009,6,2,0,0,애니메이션,스페인,0,24.5,30.0,63800,3,7,0
언노운 우먼,916,2009,7,2,1,0,드라마,이탈리아,0,23.5,27.4,11240,1,9,0
킹콩을 들다,917,2009,7,2,1,0,드라마,한국,1,23.5,27.4,312571,5,2,1
아더와 미니모이-제1탄비밀원정대의출정,918,2009,7,3,1,0,어드벤처,프랑스,0,21.8,25.8,95584,2,6,0
오감도,919,2009,7,3,1,0,드라마,한국,1,21.8,25.8,263289,3,4,0
주온-원혼의 부활,920,2009,7,3,1,0,공포(호러),일본,0,21.8,25.8,192970,3,5,0
차우,921,2009,7,2,1,0,액션,한국,1,23.1,25.9,675943,4,2,1
해리 포터와 혼혈 왕자,922,2009,7,2,1,0,어드벤처,미국,0,23.1,25.9,1690424,5,1,1
극장판 도라에몽: 진구의 공룡대탐험,923,2009,7,2,1,0,애니메이션,일본,0,23.1,25.9,75512,3,6,0
블러디 발렌타인,924,2009,7,2,1,0,공포(호러),미국,0,25.1,30.0,78871,1,7,0
해운대,925,2009,7,2,1,0,액션,한국,1,25.1,30.0,9802,11,1,1
국가대표,926,2009,7,2,1,0,드라마,한국,1,25.5,30.4,945376,12,1,1
업,927,2009,7,2,1,0,애니메이션,미국,0,25.5,30.4,414325,3,3,0
메디엄,928,2009,7,2,1,0,공포(호러),미국,0,25.5,30.4,47689,2,9,0
명탐정 코난 : 칠흑의 추적자,929,2009,7,2,1,0,애니메이션,일본,0,25.5,30.4,251792,3,6,0
10억,930,2009,8,3,1,0,스릴러,한국,1,26.6,30.7,277160,2,5,0
지.아이.조 : 전쟁의 서막,931,2009,8,3,1,0,액션,미국,0,26.6,30.7,963850,5,3,1
아이스 에이지 3: 공룡시대,932,2009,8,2,1,0,애니메이션,미국,0,23.5,25.9,435384,3,4,0
퍼블릭 에너미,933,2009,8,2,1,0,범죄,미국,0,23.5,25.9,290614,2,5,0
불신지옥,934,2009,8,2,1,0,미스터리,한국,1,23.5,25.9,162670,2,6,0
썸머 워즈,935,2009,8,3,1,0,애니메이션,일본,0,26.3,30.9,63291,1,10,0
요가학원,936,2009,8,3,1,0,공포(호러),한국,1,26.1,29.4,185592,2,5,0
소피의 연애 매뉴얼,937,2009,8,3,1,0,멜로/로맨스,중국,0,26.1,29.4,78614,1,9,0
오펀: 천사의 비밀,938,2009,8,3,1,0,공포(호러),미국,0,26.1,29.4,118572,3,5,0
퍼펙트 겟어웨이,939,2009,8,3,1,0,스릴러,미국,0,26.1,29.4,165195,3,6,0
블랙,940,2009,8,3,1,0,드라마,인도,0,24.1,25.7,262864,5,3,0
나의 로맨틱 가이드,941,2009,8,3,1,0,코미디,미국,0,24.1,25.7,42329,1,10,0
코코 샤넬,942,2009,8,3,1,0,드라마,프랑스,0,24.1,25.7,116605,2,6,0
프로포즈,943,2009,9,3,0,0,멜로/로맨스,미국,0,23.2,28.6,148109,3,4,0
드림업,944,2009,9,3,0,0,드라마,미국,0,23.2,28.6,56594,1,9,0
왼편 마지막 집,945,2009,9,3,0,0,공포(호러),미국,0,23.2,28.6,57496,1,8,0
애자,946,2009,9,2,0,0,드라마,한국,1,23.2,27.2,377161,7,1,1
9:나인,947,2009,9,2,0,0,애니메이션,미국,0,23.2,27.2,58965,1,10,0
하이 레인,948,2009,9,2,0,0,스릴러,프랑스,0,23.2,27.2,68600,1,8,0
마이 시스터즈 키퍼,949,2009,9,3,0,0,드라마,미국,0,22.3,27.4,65183,2,9,0
이태원 살인사건,950,2009,9,3,0,0,범죄,한국,1,22.3,27.4,283557,3,3,0
국가대표 완결판-못 다한 이야기,951,2009,9,3,0,0,드라마,한국,1,22.3,27.4,80877,3,7,0
어글리 트루스,952,2009,9,3,0,0,코미디,미국,0,21.2,26.1,148171,2,4,0
S러버,953,2009,9,3,0,0,코미디,미국,0,21.2,26.1,61787,1,8,0
불꽃처럼 나비처럼,954,2009,9,3,0,0,멜로/로맨스,한국,1,20.4,25.5,439770,6,2,1
내 사랑 내 곁에,955,2009,9,3,0,0,드라마,한국,1,20.4,25.5,652225,6,1,1
페임,956,2009,9,3,0,0,뮤지컬,미국,0,20.4,25.5,214843,3,4,0
짱구는 못말려 극장판:태풍을 부르는 노래하는 엉덩이 폭탄,957,2009,9,3,0,0,애니메이션,일본,0,20.4,25.5,59632,1,10,0
나는 갈매기,958,2009,9,5,0,0,다큐멘터리,한국,1,21.2,26.8,65752,1,9,0
써로게이트,959,2009,10,3,0,0,SF,미국,0,21.7,26.4,402128,3,3,0
게이머,960,2009,10,3,0,0,액션,미국,0,21.7,26.4,200070,2,6,0
파이널 데스티네이션 4,961,2009,10,3,0,0,공포(호러),미국,0,21.7,26.4,148750,2,8,0
호우시절,962,2009,10,3,0,0,멜로/로맨스,한국,1,16.2,21.5,141785,3,6,0
정승필 실종사건,963,2009,10,3,0,0,코미디,한국,1,16.2,21.5,172340,2,5,0
디스트릭트 9,964,2009,10,3,0,0,SF,미국,0,15.9,21.6,346209,4,1,0
나는 비와 함께 간다,965,2009,10,3,0,0,범죄,프랑스,0,15.9,21.6,130836,2,4,0
부산,966,2009,10,3,0,0,액션,한국,1,15.9,21.6,90635,2,7,0
뉴욕 아이 러브 유,967,2009,10,3,0,0,코미디,미국,0,13.1,18.8,45850,2,8,0
굿모닝 프레지던트,968,2009,10,3,0,0,코미디,한국,1,13.1,18.8,812145,6,1,1
팬도럼,969,2009,10,3,0,0,액션,독일,0,13.1,18.8,82069,2,3,0
바스터즈: 거친 녀석들,970,2009,10,2,0,0,액션,미국,0,14.7,20.0,154377,4,3,0
마이클 잭슨의 디스 이즈 잇,971,2009,10,2,0,0,다큐멘터리,미국,0,14.7,20.0,66099,3,6,0
시간 여행자의 아내,972,2009,10,2,0,0,멜로/로맨스,미국,0,14.7,20.0,282655,4,2,0
파주,973,2009,10,2,0,0,드라마,한국,1,14.7,20.0,75944,2,5,0
킬 미,974,2009,11,3,0,0,멜로/로맨스,한국,1,14.2,17.9,39091,1,9,0
펜트하우스 코끼리,975,2009,11,3,0,0,드라마,한국,1,14.2,17.9,97681,2,5,0
집행자,976,2009,11,3,0,0,드라마,한국,1,14.2,17.9,193348,3,3,0
내 눈에 콩깍지,977,2009,11,3,0,0,멜로/로맨스,한국,1,14.2,17.9,42318,1,8,0
청담보살,978,2009,11,2,0,0,멜로/로맨스,한국,1,9.3,13.9,555611,4,2,1
2012,979,2009,11,3,0,0,SF,미국,0,8.8,12.4,1622677,7,1,1
19-Nineteen,980,2009,11,3,0,0,드라마,한국,1,8.8,12.4,27274,1,9,0
천국의 우편배달부,981,2009,11,3,0,0,멜로/로맨스,한국,1,8.8,12.4,71594,2,6,0
백야행,982,2009,11,3,0,0,멜로/로맨스,한국,1,1.8,5.9,351728,4,3,0
솔로이스트,983,2009,11,3,0,0,드라마,미국,0,1.8,5.9,69567,2,5,0
닌자 어쌔신,984,2009,11,3,0,0,액션,미국,0,8.0,13.2,551791,4,2,1
크리스마스 캐롤,985,2009,11,3,0,0,애니메이션,미국,0,8.0,13.2,138022,4,6,0
홍길동의 후예,986,2009,11,3,0,0,액션,한국,1,8.0,13.2,18850,5,4,0
바람,987,2009,11,3,0,0,드라마,한국,1,8.0,13.2,24026,3,9,0
뉴 문,988,2009,12,2,0,1,판타지,미국,0,5.6,8.0,24684,6,1,1
시크릿,989,2009,12,3,0,1,스릴러,한국,1,4.6,5.9,367764,4,2,1
에반게리온: 파,990,2009,12,3,0,1,애니메이션,일본,0,4.6,5.9,27019,1,10,0
위대한 침묵,991,2009,12,3,0,1,다큐멘터리,독일,0,4.6,5.9,10017,1,9,0
모범시민,992,2009,12,3,0,1,스릴러,미국,0,7.6,8.5,376573,4,2,0
여배우들,993,2009,12,3,0,1,드라마,한국,1,7.6,8.5,255617,3,5,0
아바타,994,2009,12,3,0,1,SF,미국,0,-7.2,-3.2,1665665,15,1,1
걸프렌즈,995,2009,12,3,0,1,멜로/로맨스,한국,1,-7.2,-3.2,73344,1,8,0
전우치,996,2009,12,2,0,1,액션,한국,1,4.4,7.7,1775644,7,2,1
파르나서스 박사의 상상극장,997,2009,12,2,0,1,판타지,미국,0,4.4,7.7,332341,2,4,0
셜록 홈즈,998,2009,12,2,0,1,미스터리,미국,0,4.4,7.7,803893,5,3,1
포켓 몬스터 DP: 아르세우스 초극의 시공으로,999,2009,12,3,0,1,애니메이션,일본,0,2.8,6.7,149298,6,3,0
앨빈과 슈퍼밴드2,1000,2009,12,2,0,1,가족,미국,0,-4.0,1.8,321999,3,5,0
나인,1001,2009,12,3,0,1,멜로/로맨스,미국,0,-10.8,-8.3,333505,2,4,0
더 로드,1002,2010,1,3,0,1,SF,미국,0,-10.1,-5.5,108792,2,7,0
용서는 없다,1003,2010,1,3,0,1,범죄,한국,1,-10.1,-5.5,353431,5,3,1
극장판파워레인저 엔진포스VS 와일드스피릿,1004,2010,1,3,0,1,SF,일본,0,-10.1,-5.5,67438,1,8,0
아스트로 보이-아톰의 귀환,1005,2010,1,2,0,1,애니메이션,미국,0,-13.2,-10.7,28309,4,5,0
파라노말 액티비티,1006,2010,1,2,0,1,공포(호러),미국,0,-13.2,-10.7,193237,4,4,0
아빠가 여자를 좋아해,1007,2010,1,3,0,1,멜로/로맨스,한국,1,-9.1,-4.1,108875,1,7,0
웨딩드레스,1008,2010,1,3,0,1,드라마,한국,1,-9.1,-4.1,74359,1,9,0
500일의 썸머,1009,2010,1,3,0,1,드라마,미국,0,-4.1,2.4,81456,3,7,0
공주와 개구리,1010,2010,1,3,0,1,애니메이션,미국,0,-4.1,2.4,58490,1,10,0
주유소 습격사건 2,1011,2010,1,3,0,1,액션,한국,1,-4.1,2.4,378506,3,3,0
8인: 최후의 결사단,1012,2010,1,3,0,1,액션,중국,0,-4.1,2.4,81280,1,8,0
